reference,doi,website_report,full_reference,id
"Gordon et al 2004","","","Gordon, H.W., Bassett, K.N., Nobes, D.C. and Jacomb, C. (2004) Gardening at the edge: Documenting the limits of tropical Polynesian kumara horticulture in southern New Zealand. Geoarchaeology, 19 (3), 185-218.","136"
"Grace 1901","","","Grace, Archdeacon. (1901) Maori traditions form D’Urville Island, New Zealand. The Journal of the Polynesian Society, 10, 65-71.","137"
"Graham 2002","","","Graham, P. (2002) Maori legends of the land: Maori tales and traditions. Bush Press of New Zealand, Takapuna, 48pp.","138"
"Green 1963","","","Green, R.C. (1963) A review of the prehistoric sequence of the Auckland Province. Publication of the Auckland Archaeological Society No.1. 2nd Edition. (In: McFadgen 2007).","139"
"Greenwood 1967","","http://www.wcrc.govt.nz/Documents/Natural Hazard Reports/Maori Enviro Knowledge re Nat Haz King and Goff GNS Client Report 2006.pdf","","140"
"Griffiths 1941","","http://www.jps.auckland.ac.nz/document/?wid=2237","Griffiths, G.D. (1941) Discovery and excavation of an old Maori (No. 1) camp near Nomanby, Timaru. Journal of the Polynesian Society, 50, 211-231.","141"
"Griffiths 1942","","http://www.jps.auckland.ac.nz/document/?wid=2256","Griffiths, G.D. (1942) Excavation of Maori No. 2 camp, near Nomanby, Timaru. Journal of the Polynesian Society, 51, 115-125.","142"
"Groube 1966","","","Groube, L. (1966) Rescue excavations in the Bay of Islands. New Zealand Archaeological Association Newsletter, 9, 108–114.","143"
"Gumbley 2005","","http://www.doc.govt.nz/documents/science-and-technical/sfc246.pdf","Gumbley, W. Johns, D. and Law, G. (2005) Management of wetland archaeological sites in New Zealand. Science for Conservation No. 246, Department of Conservation, Wellington, 76pp.","144"
"Haast 1874a","","http://rsnz.natlib.govt.nz/volume/rsnz_07/rsnz_07_00_001010.pdf","Haast J von. (1874a) Researches and excavations carried on in and near the Moa-bone Point Cave, Sumner Road, in the year 1872. Transactions and Proceedings of the New Zealand Institute, VII, 54–85.","145"
"Haast 1874b","","","Haast, J. von (1874b). Notes on the Moa Hunter encampment at Shag Point, Otago. Transactions and Proceedings of the New Zealand Institute, 7, 91-98.","146"
"Haast 1877","","http://rsnz.natlib.govt.nz/volume/rsnz_10/rsnz_10_00_000480.pdf","Haast J von. (1877) Address. Transactions and Proceedings of the New Zealand Institute, X, 37-56.","147"
"Hammond 1901","","http://www.jps.auckland.ac.nz/document/?wid=425","Hammond, Rev. T. G. (1901) Te Tai Hauauru (Or West Coast). Journal of the Polynesian Society. 10, 194-202.","148"
"Hancox et al 2003","","http://shop.gns.cri.nz/sr_2003-030-pdf/","Hancox, G.T., Cox, S.C., Turnbull, I.M., and Crozier, M.J. (2003) Reconnaissance studies of landslides and other ground damage caused by the MW7.2 Fiordland earthquake of 22 August 2003. Institute of Geological & Nuclear Sciences science report, 2003/30.","149"
"Hartstein & Dickinson 2001","","http://www.jstor.org/stable/25736292","Hartstein, N.D. and Dickinson, W.W. (2001) Gravel barrier migration and overstepping in Cable Bay, Nelson, New Zealand. Journal of Coastal Research, Special Issue 34, 256-266.","150"
"Hay 1981","","https://library.niwa.co.nz/cgi-bin/koha/opac-detail.pl?biblionumber=205286&query_desc=se%3AGeological%20map%20of%20New%20Zealand%201%3A63%2C360","Hay, R.F. (1981) Geological Map of New Zealand 1:63360, Sheet N6, Houhora. New Zealand Geological Survey, Department of Scientific and Industrial Research. (In: McFadgen 2007).","151"
"Hayward 1974","","http://www.thebookshelf.auckland.ac.nz/docs/Tane/Tane-24/17%20Moas%20-%20New%20Zealands%20First%20Rockhounds.pdf","Hayward, B.W. (1974) Notes on orientation of ventifacts in a coastal reg, Kawerua. Tane, 20, 152-155.","152"
"Hayward 1987","","http://www.jstor.org/stable/42906371","Hayward, B. W. (1987) Prehistoric archaeological sites on the Three Kings Islands, northern New Zealand. Records of the Auckland Institute and Museum, 24, 147-161.","153"
"Hayward 1991","","http://www.researchgate.net/profile/Bruce_Hayward/publication/256456264_Geology_and_geomorphology_of_the_Poor_Knights_Islands_northern_New_Zealand/links/0c9605304705d92c37000000.pdf","Hayward, B.W. 1991. Geology and geomorphology of the Poor Knights Islands, Northern New Zealand. Tane, 33, 23-37.","154"
"Hayward et al 1979a","","","Hayward, B.W., Moore, P.R., Puch, G.F., Ramsay, E.G., Wright, A.E. (1979a) Archaeological sites on the Cavalli Islands, Northern New Zealand. Tane, 25, 157-172.","155"
"Hayward et al 1979b","","http://www.thebookshelf.auckland.ac.nz/docs/Tane/Tane-32/8%20Prehistoric%20archeological%20sites.pdf","Hayward, B. W., Moore, P. R. and Bain, P. (1979b) Prehistoric archaeological sites on Whale Island (Motuhora), Bay of Plenty. Tane, 32, 73-86.","156"
"Hayward et al 2004","10.1016/j.quascirev.2004.01.010","","Hayward, B. W., Cochran, U., Southall, K., Wiggins, E., Grenfell, H. R., Sabaa, A. S., Shane, P. R. and Gehrels, R. (2004) Micropalaeontological evidence for the Holocene earthquake history of the eastern Bay of Plenty, New Zealand. Quaternary Science Rev","157"
"Hicks & Nichol 2007","10.1080/03014220709510539","","Hicks, D.L. (1975) Geomorphic development of the southern Aupouri and Karikari Peninsulas with special reference to sand dunes. Unpublished MA Thesis, Geography, University of Auckland.","158"
"Hicks 1975","10.1080/03014220709510539","","Hicks, H. and Nichol, S.L. (2007) A marine to freshwater sedimentary record from Kowhai Bay wetland, Northland. Journal of Royal Society of New Zealand, 37, 91-107.","159"
"Higham 1968","","http://nzarchaeology.org/cms/index.php?option=com_content&view=article&id=114&Itemid=30&jsmallfib=1&dir=JSROOT/1960s/11+1968/11(4)+December+1968&download_file=JSROOT/1960s/11+1968/11(4)+December+1968/AINZ11.4.155-164Higham.pdf.","Higham, C. (1968) Prehistoric research in western Southland. New Zealand Archaeological Association Newsletter, 11, 155-164.","160"
"Horrocks et al 2007","10.2112/04-0182.1","","Horrocks, M., Nichol, S.L., D’Costa, D.M., Augustinus, P., Jacobi, T., Shane, P.A. and Middleton, A. (2007) A Late Quaternary record of natural change and human impact from Rangihoua Bay, Bay of Islands, northern New Zealand. Journal of Coastal Research,","161"
"http://my.christchurchcitylibraries.com/ti-kouka-whenua/purau/","","http://my.christchurchcitylibraries.com/ti-kouka-whenua/purau/","","162"
"Hull 1986","10.1080/00288306.1986.10427524","","Hull, A.G. (1986) Pre-A.D. 1931 tectonic subsidence of Ahuriri Lagoon, Napier, Hawke’s Bay, New Zealand. New Zealand Journal of Geology & Geophysics, 29, 75-82.","163"
"Irwin 2004","","http://trove.nla.gov.au/work/8353114?selectedversion=NBD25432255","Irwin, G. (ed.) (2004) Kohika. The archaeology of a late Maori lake village in the Ngati Awa rohe, Bay of Plenty, New Zealand. Auckland University Press, 280pp.","164"
"Jacomb et al 2004","","https://inis.iaea.org/search/search.aspx?orig_q=RN:36017725","Jacomb, C., Tucker, B. and Walter, R. (2004) Excavations at the Buller River Site (K29/8), January 2004. Archaeology in New Zealand. 47, 118-135.","165"
"Jeal and Jeal 1990","","","Jeal, M and Jeal, M. (1990) Portland Islands, Mahia Peninsula, Archaeological survey, May 1990. New Zealand Historic Places Trust. 24pp.","166"
"Johnson 1997","","","Johnson, L. (1997) Archaeological investigations of sites N12/8 (Q05/46) and N12/35 (Q05/73), Opunga Bay, Moturua Island, Bay of Islands. Unpublished report. Copy held at New Zealand Historic Places Trust, Wellington.","167"
"Jones 1991","","http://nzarchaeology.org/cms/NZJA/Vol%2013%201991/NZJA13.143-175Jones.pdf","Jones, K. (1991) Maori settlement and horticulture on the Rangitaiki Plains, Bay of Plenty, New Zealand. New Zealand Journal of Archaeology, 13, 143-175.","168"
"Jones 2002","","","Jones, K.L. (2002) Archaeology of the Eastern North Island. Unpublished Department of Conservation Report, Research, Development and Improvement (held as CD).","169"
"Jones et al 2002","","","Jones, M., Matisoo-Smith, L. and Sutton, D. (2002) C.A.R. Fieldwork Report: Pataua South. Centre for Archaeological Research.","170"
"Jones et al 1995","","http://nzarchaeology.org/cms/NZJA/Vol%2017%201995/NZJA17.111-124Jones.pdf","Jones, K., Hooker, R. and Anderson, A. (1995) Bruce Bay revisited: Archaic Maori occupation and Hasst’s “Palaeolithic”. New Zealand Journal of Archaeology, 17, 111-124.","171"
"Judd et al 2017","","","Judd, K., Chagué-Goff, C., Goff, J., Gadd, P., Zawadzki, A., & Fierro, D. (2017). Multi-proxy evidence for small historical tsunamis leaving little or no sedimentary record. Marine Geology, doi:10.1016/j.margeo.2017.01.002.","172"
"Judge et al 2005","","","Judge, C., Carpenter, J. and Lawlor, I. (2005) Archaeological investigation of Site R09/251, Tawharanui Peninsula: Final Report. 30pp.","173"
"Kahotea 1993","","","Kahotea, D.T. (1993) Papamoa main drain outlet: Archaeological investigation of Grant Place stormwater pipeline foredune route. Report for Tauranga District Council, 35pp.","174"
"Kaikoura Star 1936","","","Kaikoura Historical Society. (1998) Notes of Jock Sherrard prepared for “Kaikoura: A history of the district. Folder 37a, p. 4; Folder 45, p. 5; Folder 99, p. 41-42; Final notes. (In: Walters et al 2003).","175"
"Kennedy et al 2007","10.1016/j.sedgeo.2007.01.005","","Kennedy, D.M, Tannock, K.L., Crozier, M.J. and Rieser, U. (2007) Boulders of MIS 5 age deposited by a tsunami on the coast of Otago, New Zealand. Sedimentary Geology, 200, 222-231.","176"
"King 1930","","http://rsnz.natlib.govt.nz/volume/rsnz_61/rsnz_61_01_003690.pdf","King, L.C. (1930) Raised beaches and other features of the South-east coast of the North Island of New Zealand. Transactions and Proceedings of the New Zealand Institute, 61, 498-523.","177"
"King 1936a","","http://www.jstor.org/stable/30058622","King, L.C. (1936a) Wind-faceted stones from Marlborough, New Zealand, Journal of Geology, 44, 201-213.","178"
"King 1936b","","http://rsnz.natlib.govt.nz/volume/rsnz_66/rsnz_66_00_002890.pdf","King, L.C. (1936b) Wind-faceted stones from the Marlborough strand plain, New Zealand, Transactions and Proceedings of the Royal Society of New Zealand, 66, 275-280.","179"
"King and Goff 2006","10.5194/nhess-10-1927-2010","","King, D.N.T. and Goff, J. (2006) Maori environmental knowledge in natural hazards management and mitigation. NIWA Client Report AKL2006-055. GNS Science. 81pp.","180"
"King and Goff 2010","10.5194/nhess-10-1-2010.","","King, D. and Goff, J. (2010) Benefitting from differences in knowledge, practice and belief: Māori oral traditions and natural hazards science. Natural Hazards and Earth System Sciences, 10, 1927-1940.","181"
"Law 1975","","","Law, R.G. (1975) A garden soil at Rocky Bay, Waiheke Island, N43/72. New Zealand Archaeological Association Newsletter, 18, 183-190.","182"
"Lawlor 2004","","","Lawlor, I. (2004) Interim report on archaeological Site R09/251 investigations, Tawharanui Regional Park. Archaeology in New Zealand. 47, 62-64.","183"
"Leach & Hamel 1981","","","Leach, H.M. and Hamel, J. (1981) Archaic and classic Maori relationships at Long Beach, Otago: the artifacts and activity areas. New Zealand Journal of Archaeology, 3, 109-141.","184"
"Leach & Leach 1980","","","Leach, H.M. and Leach, B.F. (1980) The Riverton Site: An archaic adze manufactory in Western Southland, New Zealand. New Zealand Journal of Archaeology. 2, 99-140.","185"
"Leahy 1974","","http://www.jstor.org/stable/42906205","Leahy, A. (1974) Excavations at Hot Water Beach (N44/69). Records of the Auckland Institute and Museum, 11, 23-76.","186"
"Lewis et al 2004","10.1080/00288306.2004.9515067","","Lewis, K.B., Lallemand, S.E., Carter, L. (2004) Collapse in a Quaternary shelf basin off East Cape, New Zealand: Evidence for passage of a subducted seamount inboard of the Ruatoria giant avalanche. New Zealand Journal of Geology and Geophysics, 47(3), 41","187"
"Litchfield and Norris 2000","10.1080/00288306.2000.9514897","","Litchfield, N.J. and Norris, R.J. (2000) Holocene motion on the Akatore Fault, south Otago coast, New Zealand. New Zealand Journal of Geology & Geophysics, 2000, 43, 405-418.","188"
"Lowe & de Lange 2000","10.1191/095968300670392643","","Lowe, D.J. and de Lange, W.P. (2000) Volcano-meteorological tsunamis, the c. AD 200 Taupo eruption (New Zealand) and the possibility of a global tsunami. The Holocene, 10, 401-407.","189"
"Magill 2001","","","Magill, C.R. (2001) Numerical modelling of tsunami generated by mass movement, Unpublished MSc thesis, University of Waikato, 157pp.","190"
"Marra 1997","","","Marra, M.J. (1997) Holocene evolution of the Waiotahi Estuary, Bay of Plenty. Unpublished MSc thesis, University of Auckland, 130pp.","191"
"Marriner 1909","","http://rsnz.natlib.govt.nz/volume/rsnz_42/rsnz_42_00_001870.html","Marriner, G.R. (1909).  The Mokoia Aerolite; with a few introductory remarks on the New Zealand meteoric phenomena. Transactions and Proceedings of the Royal Society of New Zealand, 14, 176-184.","192"
"Mason & Wilkes 1963","","","Mason, G.M. and Wilkes, O. (1963) Excavations at Dashing Rocks, Timaru. New Zealand Archaeological Newsletter, 6, 95-98.","193"
"Mather & Nichol 2005","","","Mather, N.S. and Nichol, S.L. (2005) Coastal sedimentation on the east coast of Auckland: evaluating evidence for tsunami. New Zealand Hydrological Society and the Institute of Australian Hydro-geologists, 28 November-2 December 2005, 11pp.","194"
"McClintock 2013","","","McClintock, J. (2013) Reconstructing a palaeotsunami: determining the geomorphological and cultural change associated with a catastrophic seismic event, Kapiti Coast of New Zealand. Unpublished BEnvSci, University of New South Wales, Sydney, Australia, 84","195"
"McFadgen 1980","","http://www.researchgate.net/publication/266080268_McFadgen_B.G._1980._A_stone_row_system_at_Okoropunga_on_the_southeast_Wairarapa_coast_and_inferences_about_coastal_stone_rows_elsewhere_in_central_New_Zealand._New_Zealand_Journal_of_Science_23_189197","McFadgen, B.G. (1980) A stone row system at Okoropunga on the southeast Wairarapa coast and inferences about coastal stone rows elsewhere in central New Zealand. New Zealand Journal of Science, 23, 189-197.","196"
"McFadgen 1985","10.1080/03036758.1985.10421742","","McFadgen, B.G. (1985) Late Holocene stratigraphy of coastal deposits between Auckland and Dunedin, New Zealand. Journal of the Royal Society of New Zealand, 15, 27–65.","197"
"McFadgen 1994","10.1080/03014223.1994.9517454","","McFadgen, B.G. (1994) Archaeology and Holocene sand dune stratigraphy on Chatham Island. Journal of the Royal Society of New Zealand, 24, 17–44.","198"
"McFadgen 1997","","http://www.doc.govt.nz/documents/science-and-technical/kapitiarch.pdf","McFadgen, B.G. (1997) Archaeology of the Wellington Conservancy: Kapiti-Horowhenua. A prehistoric and palaeoenvironmental study. Department of Conservation, 43pp.","199"
"McFadgen 2003","","http://www.doc.govt.nz/documents/science-and-technical/wairarch.pdf","McFadgen, B.G. (2003) Archaeology of the Wellington Conservancy: Wairarapa. A study in tectonic archaeology. Department of Conservation Science and Research Unit, Wellington, 94pp.","200"
"McFadgen 2005","","","McFadgen, B.G. (2005). Unpublished Email to J Goff entitled ""Green, R.C. (1978) Kauri Point"", Bruce McFadgen, Wellington. 1pp. (Received 221205).","201"
"McFadgen 2007","","http://www.press.auckland.ac.nz/en/browse-books/all-books/books-2007/Hostile-Shores-Catastrophic-Events-in-Prehistoric-New-Zealand-and-Their-Impact-on-Maori-Coastal-Communities.html","McFadgen, B.G. (2007) Hostile Shores: Catastrophic events in pre-historic New Zealand and their impact on Maori coastal communities. Auckland University Press, New Zealand, 298pp.","202"
"McFadgen and Challis 1979","10.1080/00288306.1979.10422560","","McFadgen, B.G. and Challis, J.R. (1979) Late Holocene geology and archaeology of Parapara Spit, Golden Bay, New Zealand, New Zealand Journal of Geology and Geology, 22(1), 141-145.","203"
"McFadgen and Goff 2003","","http://www.doc.govt.nz/documents/science-and-technical/dsis149.pdf","McFadgen, B.G. and Goff, J.R. (2003) Earthquake uplift and erosion of archaeological Site L26/1 at the mouth of the Heaphy River. Department of Conservation Internal Series 149, 19pp.","204"
"McFadgen and Goff 2005","10.1002/jqs.907","","McFadgen, B.G. and Goff, J.R. (2005) An earth systems approach to understanding the tectonic and cultural landscapes of linked marine embayments: Avon-Heathcote Estuary (Ihutai) and Lake Ellesmere (Waihora), New Zealand.  Journal of Quaternary Science, 20","205"
"McFadgen and Goff 2007","10.1016/j.sedgeo.2007.01.007","","McFadgen, B.G. and Goff, J.R. (2007) Tsunamis in the archaeological record of New Zealand. Sedimentary Geology, 200, 263-274.","206"
"McFadgen and Walton 1996","","","McFadgen, B.G. and Walton, A.J. (1996) Report of investigations for the NZ Historic Places Trust into garden soils at the Johnson Trust Estate, Papamoa. 5pp.","207"
"McFadgen and Yaldwyn 1984","10.1080/00288306.1984.10422289","","McFadgen, B.G. and Yaldwyn, J.C. (1984) Holocene sand dunes on Enderby Island, Auckland Islands. New Zealand Journal of Geology & Geophysics, 27, 27-33.","208"
"McFadgen et al 1996","","","McFadgen, B.G., Bagley, S. and Mosen, J. (1996) Late Holocene geology and archaeology of a small dune system on the eastern shore of lake Grassmere. Report for Department of Conservation, 12pp.","209"
"McKercher 2008","","","McKercher, A. (2008) Unpublished Email to  J Goff entitled ""Colac Bay"", Alastair McKercher, Christchurch. 3pp. (Received 150208).","210"
"McLeod 1912","","","McLeod, H.N. (1912) Pre-Pakeha occupation of Wellington District. Early Settlers and Historical Association of Wellington Journal, 1, 14-17.","211"
"Mildenhall & Brown 1987","10.1080/0028825X.1987.10410075","","Mildenhall, D.C. and Brown, L.J. (1987) An early Holocene occurrence of the mangrove Avicennia marina in Poverty Bay, Northern Island, New Zealand: its climatic and geological implications. New Zealand Journal of Botany, 25, 281-294.","212"
"Mitcalfe 1968","","","Mitcalfe, B. (1968) Castlepoint Mataikona Preliminary Field Report.7pp.","213"
"Mitchell and Mitchell 2004","","","Mitchell, H. and Mitchell, J. (2004) Te Tau Ihu o te Waka: A history of Maori of Marlborough and Nelson (Vol. 1). Huia Publishers, Wellington, 500pp.","214"
"Mitchell and Mitchell 2015","","http://www.TeAra.govt.nz/en/te-tau-ihu-tribes","Mitchell, H. and Mitchell, J. (2015). 'Te Tau Ihu tribes', Te Ara - the Encyclopedia of New Zealand, updated 8-Sep-15 URL: http://www.TeAra.govt.nz/en/te-tau-ihu-tribes","215"
"Moore 1985","","http://www.thebookshelf.auckland.ac.nz/docs/Tane/Tane-31/8%20Archaeological%20sites%20and%20obsidian%20deposits.pdf","Moore, P.R. (1985) Archaeological sites and obsidian deposits on the Mokuhinau Islands, Hauraki Gulf. Tane, 31, 75-84.","216"
"Moore 2001","","","Moore, P. R. (2001) Prehistoric explanation of andesite at Orokawa Bay, Western Bay of Plenty. Archaeology in New Zealand. 44, 1102-108.","217"
"Morrall 1997","","","Morrall, B. (1997). Orewa Beach is still there. North & South, May issue, 29.","218"
"Naish and Kamp 1995","","http://hdl.handle.net/10289/4700","Naish,T. and Kamp P.J.J. (1995) Pliocene–Pleistocene marine cyclothems, Wanganui Basin, New Zealand: a lithostratigraphic framework. New Zealand Journal of Geology and Geophysics, 38, 223-243.","219"
"New Zealand Forest Service 1984","","","New Zealand Forest Service (1984) Survey of the Saltwater historic features. New Zealand Forest Service Report, Hokitika, 129pp.","220"
"Newnham et al 1995","","http://researchcommons.waikato.ac.nz/bitstream/handle/10289/147/content.pdf?sequence=1.","Newnham, R.M., Lowe, D.J. and Wigley, G.N.A. (1995) Late Holocene palynology and palaeovegetation of tephra-bearing mires at Papamoa and Waihi Beach, western Bay of Plenty, North Island, New Zealand. Journal of the Royal Society of New Zealand, 25, 283-30","221"
"Ngai Tahu Deed of Settlement (1998)","","http://beehive.govt.nz/feature/ngai-tahu-settlement-50","Ngai Tahu Deed of Settlement (1998) Attachment 12.136, Töpuni for Takitimu Range, Southland, (clause 12.5).","222"
"Nichol 1988","","","Nichol, R. (1988) Tipping the feather against a scale. Archaeozoology from the tail of the fish. Unpublished PhD thesis, Auckland University.","223"
"Nichol et al 2003","10.1016/S0037-0738(02)00191-4","","Nichol, S.L., Lian, O.B., Carter, C.H., (2003) Sheet-gravel evidence for a late Holocene tsunami run-up on beach dunes, Great Barrier Island, New Zealand. Sedimentary Geology, 155, 129-145.","224"
"Nichol et al 2004","10.3406/morfo.2004.1197","","Nichol, S., Regnauld, H. and Goff, J.R. (2004) Sedimentary evidence for tsunami on the NE coast of New Zealand. Geomorphologie: Relief, Processus, Environement, 1, 35-44.","225"
"Nichol et al 2007a","10.1016/j.sedgeo.2007.01.019","","Nichol, S., Goff, J.R., Devoy, R.J.N., Chagué-Goff, C., Hayward, B., James, I. (2007a) Lagoon subsidence and tsunami on the West Coast of New Zealand. Sedimentary Geology, 200, 248-262.","226"
"Nichol et al 2007b","10.2112/04-0185.1","","Nichol, S., Lian, O.B., Horrocks, M. and Goff J.R. (2007b) Holocene record of gradual, catastrophic, and human-influenced sedimentation from a backbarrier wetland, Northern New Zealand. Journal of Coastal Research. 23, 605-617.","227"
"Nichol et al 2010","10.1016/j.sedgeo.2010.06.001","http://www.sciencedirect.com/science/article/pii/S0037073810001338","Nichol, S.L., Chagué-Goff, C., Goff. J.R., Horrocks, M., McFadgen, B.G., Strotz, L.(2010) Geomorphology and accommodation space as limiting factors on tsunami deposition: Chatham Island, southwest Pacific Ocean. Sedimentary Geology, 229, 41–52.","228"
"Nyberg 2006","","","Nyberg, C. (2006) Unpublished Email to  J Goff entitled ""Bland Bay"", Claire Nyberg, Whangarei. 1pp. (Received 110806).","229"
"NZAA 1963","","","NZAA (New Zealand Archaeological Association), (1963) Site number S30/11. Grid Reference 983 679 (3 pp.).","230"
"NZAA 1965","","","NZAA (New Zealand Archaeological Association), (1965) Site number S23/8. Grid Reference 066 734 (3 pp.).","231"
"NZAA 1979","","","NZAA (New Zealand Archaeological Association), (1979) Site number N108/156. Grid Reference 775 416 (1 pp.).","232"
"NZAA 1981","","","NZAA (New Zealand Archaeological Association), (1981) Site number S15/49. Omokau Bay. Grid Reference 689700, 852700 734 (1 pp.).","233"
"NZAA 1989a","","","NZAA (New Zealand Archaeological Association), (1989a) Site number S44/55. Grid Reference 478700, 702700 (1 pp.).","234"
"NZAA 1989b","","","NZAA (New Zealand Archaeological Association), (1989b) Site number S44/54. Grid Reference 478700, 702600 (2 pp.).","235"
"NZAA 1991","","","NZAA (New Zealand Archaeological Association), (1991) Site number M25/124. Ruataniwha. Grid Reference 2482200, 6061700 (3 pp.).","236"
"NZAA 1993","","","NZAA (New Zealand Archaeological Association), (1993) Site number R16/273. Grid Reference 2657200 6316000 (1pp.).","237"
"NZAA 1994a","","","NZAA (New Zealand Archaeological Association), (1994a) Site number R16/244. Grid Reference 2659900, 6328300 (1 pp.)","238"
"NZAA 1994b","","","NZAA (New Zealand Archaeological Association), (1994b) Site number R16/384. Grid Reference 603 241 (1 pp.).","239"
"NZAA 1994c","","","NZAA (New Zealand Archaeological Association), (1994c) Site number R16/381. Grid Reference 603 244 (1 pp.).","240"
"NZAA 1994d","","","NZAA (New Zealand Archaeological Association), (1994d) Site number R17/211. Paparahia Mouth. Grid Reference 2652700, 6295700 (3 pp.).","241"
"NZAA 1994e","","","NZAA (New Zealand Archaeological Association), (1994e) Site number N91/39. Grid Reference 166 447 (8 pp.).","242"
"NZAA 1994f","","","NZAA (New Zealand Archaeological Association), (1994f) Site number R17/181. Pitone. Grid Reference 514 842, 512 841 (4 pp.).","243"
"NZAA 1996","","","NZAA (New Zealand Archaeological Association), (1996) Site number R14/247. Raglan Airfield. Grid Reference 26735 63757 (2 pp.).","244"
"NZAA 1997","","","NZAA (New Zealand Archaeological Association), (1997) Site number R15/495. Ruapuke Beach Road. Grid Reference 26661 63651 (3 pp.).","245"
"Orchiston 1974","","","Orchiston, D.W. (1974) Studies in South Island, New Zealand prehistory and protohistory. Unpublished PhD.Thesis, Department of Anthropology, University of Sydney. 3 volumes, 691pp (refer to Roger Fyfe, Canterbury Museum for copy of thesis).","246"
"Osborne 1991","10.1080/03036758.1991.10420833","","Osborne, N.M., Enright, N.J. and Parnell, K.E. (1991) The age and stratigraphic significance of sea-rafted Loisels pumice in northern New Zealand. Journal of the Royal Society of New Zealand, 21, 357-371.","247"
"Pain 1976","","","Pain, C.F. (1976) Late quaternary dune sands and associated deposits near Aotea and Kawhia Harbours, North Island, New Zealand. N. Z. J. Geol. Geophys. 19, 153–177.","248"
"Pain 1979","","","Pain, C.F. (1979) Radiocarbon ages from dune sands near Aotea and Kawhia Harbours, North Island, New Zealand (Note). N. Z. J. Geol. Geophys. 22, 291–292.","249"
"Palmer 1997","","","Palmer, R. (1997) Moturata Island: Site protection in action. Archaeology in New Zealand. 40, 197-203.","250"
"Parnell 2004","","http://www.kaiparaharbour.net.nz/Publications/Details/c29cc3ac-f6ea-4a17-977b-12c8ec9dcef9","Parnell, K.E. (2004) Integrating indigenous history, historical records and geomorphic evidence of coastal change, Kaipara Harbour, New Zealand. Proceedings of the Coast to Coast 2004 Conference, Hobart, Tasmania, 7pp.","251"
"Pearce 2001","","","Pearce, P. (2001) Mangawhai sandspit excavation 1978. Archaeology in New Zealand, 44, 294-303.","252"
"Pearce 2006","","","Pearce, S. (2006) Sedimentary record of palaeotsunami from two backbarrier wetlands, east coast Northland. Unpublished MSc thesis, University of Auckland, SGES, 115pp","253"
"Pearse 2007","","","Pearse, L. (2007) Unpublished Email to  J Goff entitled ""Information from Irenie Turner"", 1pp. (Received 010507).","254"
"Peters 1975","","","Peters, K.M. (1975) Agricultural gardens on Moturua Island in the Bay of Islands. New Zealand Archaeological Association Newsletter, 18, 171–182.","255"
"Phillips 2000","","http://www.press.auckland.ac.nz/en/browse-books/all-books/books-2000/Waihou-Journeys-The-Archaeology-of-400-Years-of-Maori-Settlement.html","Phillips, C. (2000) Waihou journeys. The archaeology of 400 years of Maori settlement. Auckland University Press, 194pp.","256"
"Phillips Coleman 1899","","http://rsnz.natlib.govt.nz/volume/rsnz_32/rsnz_32_00_003410.html","Phillips, Coleman (1899) On the volcanoes of the Pacific. Transactions and Proceedings of the Royal Society of New Zealand, 32, 188-212.","257"
"Pricket 1990","","","Prickett, N. (1990) Hawkes Bay Coast archaeological survey – Summer 1989-90. New Zealand Historic Places Trust, Wellington, 11pp.","258"
"Prickett & Prickett 1973","","","Prickett, N.J. and Prickett, K.E. (1973) D’Urville Island archaeological survey. New Zealand Archaeological Association Newsletter, 18, 108-131.","259"
"Prince & Clough 2001","","","Prince, D. and Clough, R. (2001) Okiwi Airfield drainage improvement works, Okiwi Great Barrier Island: Archaeological assessment and monitoring. Clough and Associates Ltd. 28pp","260"
"Reed 1977","","","Reed, A.W. (1977) Treasury of Maori exploration. Auckland. A.W. Reed Ltd., Wellington, 288pp.","261"
"Richards 2003","","http://natlib.govt.nz/records/21820835?search[path]=items&search[text]=Whaling+--+Pacific+Ocean+--+History","Richards, R. (2003) Canadian whaling in the Pacific Ocean 1834-1850. The Canadian Nautical Research Society. 20, 20-26.","262"
"Ritchie 1994","","","Richie, N. (1994) Red Mercury Island (Whakau) archaeological survey 1992. New Zealand Archaeological Association. 37, 132-140.","263"
"Rowland 1978","","","Rowland, M.J. (1978) Investigations of two sites on Slipper Island. New Zealand Archaeological Association Newsletter, 21, 31-52.","264"
"Saunders 1934","","","Saunders, M. (1934) The Conquerors: Saga of the stations, Southland Times Co., 17th February 1934, page nos. unknown.","265"
"Schallenberg et al 2012","10.1016/j.sedgeo.2012.06.010","","Schallenberg, M., Goff, J. and Harper, M.A. (2012) Gradual, catastrophic and human induced environmental changes from a coastal lake, southern New Zealand. Sedimentary Geology, 273-274, 48-57.","266"
"Schofield 1968","","http://researchcommons.waikato.ac.nz/bitstream/handle/10289/9130/ESJ_0202_167.pdf?sequence=1&isAllowed=y","Schofield, J.C. (1968) Dating of recent low sea level and Maori rock carvings Ongari Point. Earth Science Journal, 2, 167-174.","267"
"Shawcross 1968","","","Shawcross, F.W. (1968) The Ngaroto site. New Zealand Archaeological Association Newsletter. 11, 2–29.","268"
"Shepherd et al 1997","","http://www.doc.govt.nz/documents/science-and-technical/sr102-entire.pdf","Shepherd, M.J., McFadgen, B.G., Betts, H.D. and Sutton, D.G. (1997) Formation, landforms, and palaeoenvironment of Matakana Island and implications for archaeology. Department of Conservation Science & Research Series 102, 100pp.","269"
