id,trigger_event_id_OLD,trigger_event_id,tide_gauge_id,date_from,date_to,date_specificity,date_certainty,year_comment,month_comment,day_comment,placename,latitude,longitude,validity,is_tsunami_observed,is_tsunami_observed_certainty,is_seiche_observed,is_seiche_observed_certainty,source_material,discussion,time_arrival_from,time_arrival_to,time_arrival_specificity,time_arrival_certainty,time_arrival_comment,time_elapsed,time_elapsed_certainty,surge_duration_lower,surge_duration_upper,surge_duration_certainty,max_effective_peak-trough_lower,max_effective_peak-trough_upper,max_effective_peak-trough_certainty,time_peak-effective_from,time_peak-effective_to,time_peak-effective_specficity,time_peak-effective_certainty,time_trough-effective_from,time_trough-effective_to,time_trough-effective_specificity,time_trough-effective_certainty,time_peak-trough-effective_comment,time-elapsed_peak-trough-effective_lower,time-elapsed_peak-trough-effective_upper,time-elapsed_peak-trough-effective_certainty,max_effective_zeropeak,max_effective_zeropeak_comment,max_effective_zeropeak_certainty,time_zeropeak-effective_from,time_zeropeak-effective_to,time_zeropeak-effective_specificity,time_zeropeak-effective_certainty,time_zeropeak-effective_comment,time-elapsed_zeropeak-effective_lower,time-elapsed_zeropeak-effective_upper,time-elapsed_zeropeak-effective_certainty,predominant_periods,is_first_motion_up,tidal_records,reference_datasource,time_arrival_expected_from,time_arrival_expected_to,time_arrival_expected_specificity,time_arrival_expected_certainty,time_arrival_expected_comment,obs_time_first_arrival_from,obs_time_first_arrival_to,obs_time_first_arrival_specificity,obs_time_first_arrival_certainty,obs_time_first_arrival_comment,obs_first_arrival_comments,traveltime_firstarrival_lower,traveltime_firstarrival_upper,traveltime_firstarrival_certainty,obs_observed_time_lapsed_lower,obs_observed_time_lapsed_upper,obs_observed_time_lapsed_certainty,obs_surge_duration_min_lower,obs_surge_duration_min_upper,obs_surge_duration_min_certainty,obs_max_peak-trough_lower,obs_max_peak-trough_upper,obs_max_peak-trough_certainty,obs_time_max_peak-trough-effective_comment,obs_time_max_peak-effective_from,obs_time_max_peak-effective_to,obs_time_max_peak-effective_specificity,obs_time_max_peak-effective_certainty,obs_time_max_trough-effective_from,obs_time_max_trough-effective_to,obs_time_max_trough-effective_specificity,obs_time_max_trough-effective_certainty,obs_water_elevation_shore_lower,obs_water_elevation_shore_upper,obs_water_elevation_shore_certainty,obs_time_max_elevation_comment,obs_time_max_elevation_from,obs_time_max_elevation_to,obs_time_max_elevation_specificity,obs_time_max_elevation_certainty,obs_height_max_at-inundation_lower,obs_height_max_at-inundation_upper,obs_height_max_at-inundation_certainty,obs_height_max_at-inundation_comment,obs_time_max_height_from,obs_time_max_height_to,obs_time_max_height_specificity,obs_time_max_height_certainty,obs_time_max_height_comment,obs_waterheight_at-inundation_proxy_max,obs_waterheight_at-inundation_proxy_min,obs_height_onshore,obs_max_onshore_flow_depth,obs_extent_inundation_lower,obs_extent_inundation_upper,obs_extent_inundation_certainty,obs_extent_inundation_comment,obs_heigth_max_inundation_lower,obs_heigth_max_inundation_upper,obs_heigth_max_inundation_certainty,obs_heigth_max_inundation_comment,obs_time_max_height_inundation_from,obs_time_max_height_inundation_to,obs_time_max_height_inundation_specificity,obs_time_max_height_inundation_certainty,obs_time_max_height_inundation_comment,obs_distance_travelled_lower,obs_distance_travelled_upper,obs_distance_travelled_certainty,obs_distance_travelled_comment,obs_height_max_bore_lower,obs_height_max_bore_upper,obs_height_max_bore_certainty,obs_is_first_motion-up,obs_is_first_motion-up_certainty,obs_predominant_period_lower,obs_predominant_period_upper,obs_predominant_period_certainty,obs_predominant_period_comment,obs_no_sig-waves,obs_wave_type,obs_wave_type_certainty,obs_fatalities,obs_fatalities_certainty,obs_injuries,obs_injuries_certainty,obs_damage,obs_intensity_lower,obs_intensity_upper,obs_threat_level,obs_threat_level_certainty,obs_measurement_type,obs_photographs,impact_summary,reference_ids,completeness,previous_database
289,58,59,,4/09/1923,4/09/1923,d,1,1923,September,4,Wellington: Lambton Harbour,-41.29,174.78,4,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/09/1923 5:00,2/09/1923 5:00,t,1,,4/09/1923 17:00,,t,2,>17:00,,14.5,14.5,1,60,60,1,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,2,,4/09/1923 17:00,4/09/1923 17:00,t,2,>17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,see source event,,see source event,see source event
290,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,"Wharekauri, Chatham Islands",-43.71,-176.58,4,TRUE,1,,,"The Moriori at Manakau [a boat?] was partly washed away, and the Wharekauri bridge was badly damaged. (The Sun (Christchurch) 2 August 1924); on my return to Wharekauri on the Sunday I met Tom Rapu at Matanginui and he said a big sea on the north coast the previous night [July 19] had washed away the new bridge at Okahu, swept over Te Awanui Island and carried away many fences along the coast. The road used at this time was along the coast and I found that indeed much damage had been done. (Holmes, 1993)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/1924 0:00,19/07/1924 0:00,d,1,evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVED, note damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridge, roadway damaged, fences swept away",VII,VII,,,,,"de Lange, W P, Healy, T H 1986. New Zealand tsunamis 1840-1982. New Zealand of Geology and Geophysics 29: 115-134.",,see source event,see source event
291,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,"Kaingaroa, Chatham Is",-43.73560604,-176.2663604,4,TRUE,1,,,"“Tidal wave experienced at Kaingaroa, Owenga, and Pitt Island, between 7-15 p.m. and 10-25 p.m. (N.Z. time [correct? CIT possibly]) on Saturday, 19th July. Not noticed at Waitangi. Reports conflicting; but there appears to have been a succession of waves from 10 to 20 feet high between the times stated.” (Acting Secretary Telegram, 5 August 1924); A wave swept inland for about five chains on the eastern side of the island. A trawler belonging to the Kaingaroa Fishing Co. was lost, and another was smashed, while the dam which supplies the company with fresh water was washed out…. Kaingaroa Lake, which gives a supply of fresh water to the Kaingaroa Co., had been washed out through the carrying away of the dam. The lake had been drained, and it would cost a considerable sum to rebuild the dam…. at Kaingaroa some fishermen who were playing cards went out to see what was amiss. On seeing the wave they made a rush inland to the bush on the west side of the island, which was not affected. Only the east side suffered, the places being Kaingaroa, Pitt Island, and Mangere Island. (Dominion 5 August 1924); the force of the water was such as to completely sweep away a spot about a hundred yards in length separating from the sea a small lake from which the water supply for the freezer was procured. The water pipes are said to be twisted and turned beyond repair. Mr Tom Suvip’s launch and four dinghys were washed away …(Star 2 August 1924); The dam at the Kaingaroa Lake, which supplies fresh water to the Kaingaroa Company, was washed away, and the company will not be able to carry on its fishing industry until the dam has been rebuilt. This will cost a considerable sum. The company also lost a fishing trawler, and another fishing trawler was broken up…. The wave washed a distance of about five chains inland at Kaingaroa…. at Kaingaroa some fishermen who were playing cards in a hut went outside to investigate the noise. Seeing the wave, they ran inland. The huts were smashed up. Damage was done to the freezing works, and four fishing launches lying at their moorings were wrecked …. A resident of Kaingaroa, Mr S. Clough was washed off horseback when he was riding along the beach at 8 p.m.[CIT], but he managed to cling to tussocks, and saved himself from being carried out to sea. Nobody was injured by the wave. (The Sun 2 August 1924); launch Wahine, owned by Tom Soowich, had disappeared from her moorings and was not seen again, except that her rudder was found some time later in the lake. The wave also wrecked a dam at the lake outlet... The high sea [at Waitangi] seemed odd as the weather was fine. (Holmes, 1993)","According to NIWA Tide Forecaster (http://www.niwa.co.nz/services/free/tides)), HW at 2004 CIT 1919 NZMT (0.71m) at Kaingaroa. The tide appears to be the highest for the month, i.e. a spring tide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/1924 19:15,19/07/1924 19:15,t,2,19:15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,,19/07/1924 19:15,19/07/1924 22:25,t,2,19:15-22:25,,,,,100,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"huts washed away, one trawler damaged, another lost, dinghies lost, dam destroyed, freezing plant damaged",VIII,IX,,,,,,,see source event,see source event
292,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,"Waitangi, Chatham Is",-43.95152546,-176.5610483,4,TRUE,1,,,"“Tidal wave experienced at Kaingaroa, Owenga, and Pitt Island, between 7-15 p.m. and 10-25 p.m. (N.Z. time) on Saturday, 19th July. Not noticed at Waitangi. Reports conflicting; but there appears to have been a succession of waves from 10 to 20 feet high between the times stated.” (Acting Secretary Telegram, 5 August 1924); West side of the Islands not affected at all (The Sun 2 August 1924); At about 9pm the Waitangi River was very high. I then crossed the old Waitangi bridge on foot. At Waitangi beach the water was high and coming in fast, forcing me to walk through paddocks along the foreshore to the steps up the cliff. The high sea seemed odd as the weather was fine. (Holmes, 1993)","According to NIWA Tide Forecaster (http://www.niwa.co.nz/services/free/tides)), HW at 1919 CIT 1834 NZMT (0.36m) at Waitangi. The tide appears to be the highest for the month, i.e. a spring tide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,19/07/1924 20:20,19/07/1924 20:20,t,1,20:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV,IV,,,,,,,see source event,see source event
293,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,"Manakau, Chatham Islands",-44.03,-176.35,4,TRUE,1,,,"The Moriori at Manakau was partly washed away, and the Wharekauri bridge was badly damaged. (The Sun 2 August 1924); George Clough, who was riding along the beach towards Manukau, was washed off his horse but managed to hold on to a fence along the foreshore and later walk inland. He found his horse the next day but the fence he had clung to had completely disappeared. (Holmes, 1993)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVED, note damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fence washed away,VII,VII,,,,,,,see source event,see source event
294,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,"Owenga, Chatham Is",-44.024,-176.367,4,TRUE,1,,,"“Tidal wave experienced at Kaingaroa, Owenga, and Pitt Island, between 7-15 p.m. and 10-25 p.m. (N.Z. time) on Saturday, 19th July. Not noticed at Waitangi. Reports conflicting; but there appears to have been a succession of waves from 10 to 20 feet high between the times stated.” (Acting Secretary Telegram, 5 August 1924); at Owenga two launches and five dinghys were lost. … The proprietors of the new shell-crushing works at Owenga had their whare smashed to matchwood and their machinery damaged. (Star 2 August 1924); a trawler which was on the cradle, and was awaiting relaunching after undergoing an overhaul, was completely broken up, and a launch was badly damaged…. The roar of the approaching wave was heard at Owenga.... A shell-crushing plant belonging to R. Whitelaw and J. Wells, which had been taken to the Islands by the Tees on her previous trip, was washed out to sea and washed in again. A hut used in connection with the plant was washed out to sea and lost. Beaches were completely stripped of shells. (The Sun 2 August 1924); At Owenga there was a large building near Ascot’s freezer (where the chimney is now). This had been built by Jack McGregor and another, who were interested in crushing pipi shells for fowl and path grit for export to New Zealand, but the venture was unsuccessful. At the time of the tidal wave two men were living in the building and when they opened the door to investigate the noise the sea washed through, though not to any great depth. The fishing vessels Sisters and Tangaroa had been drawn up the beach at Owenga for painting and repairs and the wave wrecked them. (Holmes, 1993)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/1924 19:15,19/07/1924 19:15,t,2,19:15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,,19/07/1924 19:15,19/07/1924 22:25,t,2,19:15-22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"trawler, launch and dinghies lost, hut smashed, shell-crushing machinery damaged",VIII,IX,,,,,,,see source event,see source event
295,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,Pitt Island [default location: Flower Pot],-44.24062136,-176.2390242,4,TRUE,1,,,"“Tidal wave experienced at Kaingaroa, Owenga, and Pitt Island, between 7-15 p.m. and 10-25 p.m. (N.Z. time) on Saturday, 19th July. Not noticed at Waitangi. Reports conflicting; but there appears to have been a succession of waves from 10 to 20 feet high between the times stated.” (Acting Secretary Telegram, 5 August 1924); Pitt Island Wharf was swept away and some beaches were cleared of shell…. The Pitt Island Wharf was completely washed away, not a sign of it remaining. A dinghy and a surf boat were washed up a creek a distance of eighty yards … Only the east side suffered, the places being Kaingaroa, Pitt Island, and Mangere Island. (Dominion 5 August 1924; similar in The Sun 2 August 1924); Considerable damage was done on Pitt Island. The water went quite a distance inland up the creek and, among other things, a dray-wheel wharf at Flower Pot was wrecked. (Holmes, 1993)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/1924 19:15,19/07/1924 19:15,t,2,19:15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,,19/07/1924 19:15,19/07/1924 22:25,t,2,19:15-22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wharf washed away, several boats damaged",VIII,IX,,,,,,,see source event,see source event
296,59,60,,19/07/1924,19/07/1924,d,1,1924,July,19,"Mangere Island, Chatham Island",-44.27,-176.29,4,TRUE,1,,,"Only the east side suffered, the places being Kaingaroa, Pitt Island, and Mangere Island. At the last-named place a big landslide occurred. (Dominion 5 August 1924; similar in The Sun 2 August 1924)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OBSERVED, note landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large landslide,U,U,,,,,,,see source event,see source event
297,60,61,,24/10/1924,24/10/1924,d,1,1924,October,24,Herbertville,-40.49288572,176.5574923,2,TRUE,2,FALSE,1,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,24/10/1924 8:00,24/10/1924 8:00,t,1,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,II,,,,,,,see source event,see source event
298,61,62,,1/01/1926,1/01/1928,y,2,1926-28,,,Tolaga Bay,-38.37406047,178.2973704,2,,,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3 - Jetty,VII,VII,,,,,see source event,,see source event,see source event
299,62,63,,16/06/1929,16/06/1929,d,1,1929,June ,16,Karamea,-41.24918787,172.1058848,4,TRUE,1,,,"""This earthquake was accompanied by a large rotational slump at Whitecliffs [i.e. near Little Wanganui Head] about 20 km south of Karamea. An area of sea floor was uplift as a result involving a region of 196 000 m2 and a vertical motion of about 16 m. Prior to the earthquake this area was an average of 3 m below sea level (Henderson, 1937). It is possible that this event is responsible for the 2.5 m tsunami reported at Karamea. The weather conditions at the time were bad and a cyclone was centred over the Tasman Sea to the west of the South Island. Newspapers report heavy seas at Greymouth, New Plymouth and Auckland on 19 June. This would make the observation of a tsunami difficult, especially since the waves reported due to the storm were in excess of 6 m."" (de Lange & Healy , 1986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,1,,17/06/1929 0:00,17/06/1929 0:00,d,1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
300,62,63,,16/06/1929,16/06/1929,d,1,1929,June ,16,Farewell Spit lighthouse,-40.54630493,173.0102333,4,TRUE,2,,,"""the lighthouse keepers at Cape Farewell Spit noted that, in addition to the damage caused directly by the earthquake, materials including tools were swept away by a high tide which followed the earthquake. The following day it was found that a big tide had breached part of the Spit exposing a large Maori burial ground (Chapple, 1984).""(de Lange & Healy , 1986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VII,VII,,,,,see source event,,see source event,see source event
301,63,64,,3/02/1931,3/02/1931,d,1,1931,February ,3,Wairoa,-39.04126398,177.4264674,4,TRUE,1,,,"""WAIROA: a 3 m surge or wave is reported from the Wairoa River following the earthquake."" (de Lange & Healy, 1986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,3/02/1931 0:00,3/02/1931 0:00,d,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,III,IV,,,,,see source event,,see source event,see source event
302,63,64,,3/02/1931,3/02/1931,d,1,1931,February ,3,Waikokopu,-39.07223911,177.8275594,4,TRUE,1,,,"""WAIKOKOPU: Three “tidal waves” are reported as having rushed to sea in succession. This probably means recession, since the report also states the local Maoris took advantage of the waves to trap large quantities of fish and shellfish."" (de Lange & Healy, 1986); ""At Waikokopu the tides were irregular [after the earthquake] and showed a small rise and fall five times within the ordinary period. (Marshall, 1933)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,3/02/1931 0:00,3/02/1931 0:00,d,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-May,,,,,,,,IV,IV,,,,,see source event,,see source event,see source event
303,63,64,,3/02/1931,3/02/1931,d,1,1931,February ,3,Waikare River,-39.16866248,177.0841183,4,TRUE,1,,,"""WAIKARE RIVER: A large wave destroyed a woolshed and left fish strewn 15.2 m vertically above high tide level. This suggests that the wave was at least 15 m high. It seems that this was a locally generated wave produced by a large rotational slump on the opposite side of the Waikare estuary."" (de Lange & Healy, 1986)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,2,,3/02/1931 0:00,3/02/1931 0:00,d,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shed destroyed; fish deposited,VIII,IX,,,,,see source event,,see source event,see source event
304,63,64,,3/02/1931,3/02/1931,d,1,1931,February ,3,Port of Napier,-39.476,176.92,4,FALSE,2,,,"""At Port Ahuriri the tide [at the time of the earthquake] had just begun to ebb. It has been stated by the Harbourmaster (Captain White-Parsons) that for some minutes the ebb maintained its ordinary flow, but it soon gathered force, and within a few minutes flowed with an estimated velocity of fifteen miles per hour, and this was maintained until well past the proper time of low water, and even past the next period of high water. It is, of course, clear that this was due to the outflow of water from the Ahuriri lagoon as a result of the rise in the land.... Though the outward flow of the ebb at Port Ahuriri which had begun just before the earthquake was maintained for two tidal periods, it was found that after the first outflow, which amounted to an emptying-out of the Ahuriri Lagoon, the tides soon became regular again, though it was noticed high tide occurred a little earlier than before. This result, again, was probably due to the now smaller area of Ahuriri lagoon.... No tidal wave was noticed on the ocean coast [near Napier and Port Ahuriri]. On the shore of the Ahuriri Lagoon the water rose in a wave 2 ft. or 3 ft. above tide level…. [No further mention of anything that relates to tsunami.]"" (Marshall, 1933); ""After the first shock of the Napier earthquake. The water withdrew from the inner harbour, and surged in again, partially filling it. Local residents have told the writer that a big wave came up on to Marine Parade after one of the shocks, but this has not been verified."" (Laing, 1954)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,see source event,,see source event,see source event
305,63,64,,3/02/1931,3/02/1931,d,1,1931,February ,3,Clifton,-39.64,177,4,TRUE,1,,,"Oral history People were pulled out to sea in 1-2 m waves. (second hand inf. obtained through P. Parsons, Hawke's Bay. No written acct); ""At Clifton, which is situated ten miles south of Napier, no indication of any change in the position of the shore-line could be detected. There was no visible disturbance of the materials on the beach."" (Marshall, 1933)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,3/02/1931 0:00,3/02/1931 0:00,d,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
306,64,65,,4/10/1931,4/10/1931,d,1,1931,October,4,Westport,-41.74710617,171.5966107,4,,,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5?,2,4/10/1931 0:00,4/10/1931 0:00,d,1,unknown,,,,,,,,4/10/1931 13:43,4/10/1931 13:43,t,1,,,,,,,,6.3,6.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,1,1,,,,,see source event,see source event
307,65,66,,16/09/1932,16/09/1932,d,1,1932,September,16,Wairoa,-39.04126398,177.4264674,3,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,2,1,,,see source event,,see source event,see source event
308,66,67,,2/02/1936,3/02/1936,d,2,1936,February ,2-Mar,"Goose Bay, near Kaikoura",-42.479,173.528,1,,,,,see source event,"According to NIWA Tide Forecaster (http://www.niwa.co.nz/services/free/tides)), HW was at 00:29 NZMT (0.77 m) on February 3 at Kaikoura (NZMT is standard time for this era). From LINZ Website tidal information relative to MSL (www.hydro.linz.govt.nz/tides), MHWS 0.7 m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/02/1936 0:00,3/02/1936 0:00,d,1,night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,,2-3/2/1936 0:00,2-3/2/1936 0:00,d,1,night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIII,VIII,,,,,see source event,,see source event,see source event
309,67,68,,1/05/1939,1/05/1939,d,1,1939,May,1,Westport,-41.74710617,171.5966107,4,TRUE,1,,,see source event,"According to NIWA Tide Forecaster (http://www.niwa.co.nz/services/free/tides)), LW was at 01:55 NZMT (-1.31 m), HW at 08:09 NZMT (1.41)",1/05/1939 1:00,1/05/1939 1:00,t,1,,10.5,1,4,4,1,0.65,0.65,1,,,,,,,,,01:00-05:00 (1 May),10.5,,2,0.45,,1,1/05/1939 1:00,1/05/1939 5:00,t,1,01:00-05:00,10.5,,2,,,Unknown,,30/04/1939 21:30,30/04/1939 21:30,t,1,,,,,,,See tide gauge data columns,6.5,6.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III,III,,,,,,,see source event,see source event
310,68,69,,2/04/1946,2/04/1946,d,1,1946,April,2,Mangonui,-34.99095508,173.5344399,4,TRUE,1,,,"At 8.30 pm on 2 April, water suddenly rose 2 1/2 ft above its ordinary level. Movement continued at intervals of from 15 to 20 minutes, and gradually increased until 24:00, when the rise and fall was almost 4 ft. On the morning of 3 April, a very large wave, like a breaker on the coast, came in the heads and swept up Mill Bay. It increased in ""intensity"" as it moved into shallow water. One boat torn from moorings, but no damage done. The water came in surges, and total rise was 4 ft. Water then receded rapidly, and stones & debris could be heard rolling along the bottom. The lowest point was well below low water. Fluctuations continued on morning of 3 April, but each successive wave was lower, and disturbance ceased in the afternoon. (Northland Age 11 April 1946)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/04/1946 13:30,2/04/1946 13:30,t,1,,2/04/1946 20:30,2/04/1946 20:30,t,1,,,13,13,1,20,20,1,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1,,3/04/1946 0:00,3/04/1946 12:00,t,2,00:00 & <12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BW, RRF",1,,,,,,V,V,,,,,see source event,,see source event,see source event
311,68,69,,2/04/1946,2/04/1946,d,1,1946,April,2,Whananaki,-35.50783682,174.4613466,4,TRUE,1,,,"At about 19:45 on 2 April, people heard sounds as if storm approaching, but there was no wind and a calm sea. On investigation, waves nearly three feet high, unlike any seen before, were seen pounding the beach. ""There was a solid wall of water advancing, with no trough behind it, just a flat plain of raised water. The waves came in regularly about every four minutes ... but it was not until nearly 3 o'clock that the water receded before the advance of each wave."" Waves were continuing on morning of 3 April although diminishing. (Northern Advocate 3 April 1946); Waves continuing but diminishing on April 3/4. (Northern Advocate 4 April 1946); Waves continuing but diminishing on April 3/4. (Northern Advocate 4 April 1946)",See tide at Tutukaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/04/1946 13:30,2/04/1946 13:30,t,1,,2/04/1946 19:45,2/04/1946 19:45,t,1,,,13,13,1,19.3,19.3,1,,,,,,,,,,,,,,,,0.9,0.9,1,19:45 + other times,2/04/1946 19:45,2/04/1946 19:45,t,1,0.9,0.9,1,,2/04/1946 19:45,2/04/1946 19:45,t,2,19:45 + other times,,,,,,,,,1.9,1.9,1,,2/04/1946 19:45,2/04/1946 19:45,t,1,19:45,,,,,,,,,,,,,,,BC,1,,,,,,IV,IV,,,,,see source event,,see source event,see source event
312,68,69,,2/04/1946,2/04/1946,d,1,1946,April,2,Matapouri,-35.56555257,174.5062079,4,TRUE,1,,,"""As the tide came in last night [2 April] … waves estimated at up to 8ft high experienced in the river, the effect being as if the tide was making and ebbing rapidly as wave succeeded wave."" (Northern Advocate 3 April 1946); Waves continuing but diminishing on April 3/4. (Northern Advocate 4 April 1946)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/04/1946 13:30,2/04/1946 13:30,t,1,,2/04/1946 17:00,2/04/1946 19:30,t,2,<19:30,,13,13,1,0,19,2,,,,2.4,2.4,1,<19:30 (April 2),2/04/1946 19:30,2/04/1946 19:30,t,2,2/04/1946 19:30,2/04/1946 19:30,t,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BS, RRF",1,,,,,,IV,IV,,,,,see source event,,see source event,see source event
