id,location_region,location_site,latitude,longitude,sitestatus,physical_characteristics,classification,date_min,date_max,inferred_date_range_min,inferred_date_range_max,age_max,age_min,inferred_age_range,time_scale_age,validity,natureofevidence,natureofevidencedesc,datingtechnique,geodatingtechnique,eventcomment,elevation,elevation_comment,est_min_landward_limit,est_min_landward_limit_comment,thickness,source_cause,source_cause_comment,sourcecertainty,source_location,source_lat,source_lon,proxies,references
"100","Auckland","Tawharanui Peninsula","-36.3608","174.8163","Deposit present","Gravel/Pumice over occupation","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Gravel/sand/Loisels pumice overlies first (Archaic) occupations - dated to 15th century","8","","200","","0.25","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,2,5,20,24,26,28,30","77,173,183,202"
"101","Northland","Te Ruatahi","-35.4567","174.4328","Unknown","Sands overlie middens","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Separates Archaic & Classic, soils also C14 dated. Landsnail fauna destroyed","2","","200","","0.7","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,16,20,24,28,30","44,202"
"102","Northland","Tokerau Beach","-34.9468","173.3826","Deposit present","Shelly sand/pumice over sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Reworked Loisels, Ohuan sand.C14 ages also confirm age. Landsnail fauna destroyed. Osborne et al (1991) suggest storm emplacement","10","","200","","1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,2,4,14,15,16,20,24,28","42,247,307"
"103","Northland","Tom Bowling Bay","-34.4253","172.9753","Deposit present","Pebbles over sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Archaic middens reworked by wave action - strat. corel. with Henderson Bay","42","","250","250+","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26,28,30","54"
"104","Waikato","Waikawau Bay","-36.5944","175.5181","Deposit present","Pebbles over sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Discontinuous pebble veneer on Ohuan Sand","8","","250","","0.05","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,5,26,28,30","33,95,202"
"105","Northland","Waikuku Beach","-34.4322","173.0033","Deposit present","Pebbles over sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Strat. corel. with Henderson Bay","30","30.00?","200","200?","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26,28,30","54"
"106","Northland","Waimamaku River","-35.589","173.4096","Deposit present","Gravel/pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Marine pebbles overlying sand, in appropriate straigraphic position for 15th century Northland event","12","","200","","0.05","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","54"
"107","Northland","Wairoa Bay","-35.1805","174.0719","Deposit present","Pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: In appropriate straigraphic position for 15th century Northland event","10","","22","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","54"
"108","Northland","Wairoa Bay, Bay of Islands","-35.2517","174.0722","Unknown","Pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: In appropriate straigraphic position for 15th century Northland event, overlies Māori occupation","3","","50","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,28,30","295"
"109","Waikato","Whangamata","-37.211669","175.878197","Unknown","Sand between occupation layers","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Sterile sand separating two occupation layers (Archaic/Classic). Related to other Coromandel sites? e.g. Waikawau Bay","5","","50","","0.2","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,5,20,24,26,28,30","4"
"110","Northland","Ocean Beach, Whangarei","-35.8185","174.5597","Deposit present","Pebbles on sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles/gravel overlie dune sand - stratigraphical correlation with other sites places these dunes as 15th century","8","","200","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","99"
"111","Northland","Whangaruru North","-35.3396","174.3492","Deposit present","Pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: In appropriate straigraphic position for 15th century Northland event","5","~5.00","75","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","54"
"112","Northland","Whatuwhiwhi","-34.8801","173.4102","Deposit absent","Pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: In appropriate straigraphic position for 15th century Northland event","3","~3.00","50","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","295"
"113","Northland","Woolleys Bay","-35.5616","174.4871","Deposit present","Pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: In appropriate straigraphic position for correlation with other Northland sites (refer McFadgen 2007)","6","~6.00","150","~150","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","54"
"114","Auckland","Medlands Beach, Great Barrier Island","-36.2624","175.49","Deposit present","Pebbles in sand","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Because of midden presence the age of event is correlated with other GBI sites. Sand dune advance over site suggest dune remobilisation occurred after inundation","5","5.00?","150","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26,28,30","48"
"115","Auckland","Okiwi, Great Barrier Island","-36.1427","175.4187","Deposit present","Modified soil, no occupation sites","Prehistoric AD","1450","1550","1450","1480","1450","1550","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","(1) Strat: Found a modified soil, with much disturbed midden. Adjacent to Whangapoua site - likely this soil interpretation is incorrect; (2) Strat: A hummocky topography - or tsunami geomoprhhology - was observed, and the apparent lack of sites between r","5","5.00?","200","","0.25","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,28,30","91,260"
"116","Tasman District","Oananga","-41.0666","173.5806","Unknown","Reworked Māori artefacts/midden, and sand between occupation layers.","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles overlie sand and appear to have reworked some midden material overlies Archaic - contemporaneous with D'Urville Is event","8","","100","","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,5,20,24,28,30","5,109,202"
"117","Tasman District","Awaroa Inlet","-40.8758","173","Deposit present","Marine silt unit in terrestrial sand","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: McFadgen 2007 cross-correlated with archaeological dates and data","2","","3500","","0.05","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,11,15,20,24,27,28,29,30","53,100,104,109,202"
"118","Marlborough District","Greville Harbour, D'Urville Island","-40.8122","173.8066","Deposit present","Marine gravels overlying sand containing Archaic Māori artefacts","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: 15th century event: Post-Archaic Māori, pre-Classic Māori; Greviile Harbour wetland contains flattened Manuka. Also archaeological sites below sea level","5",">5.00","300","300?","0.3","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,15,20,22,24,25,26,27,28,29,30","109,202,214,259,296,308"
"119","Tasman District","Totaranui Inlet","-40.8213","173","Deposit present","Marine silt unit in terrestrial sand","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: McFadgen 2007 cross-correlated with archaeological dates and data","2","","200","","0.12","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,11,15,20,24,28,30","53,100,104,109,202"
"120","Tasman District","Wainui Inlet","-40.8222","172.9408","Deposit present","Marine silt unit in terrestrial sand","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: McFadgen 2007 cross-correlated with archaeological dates and data","2","","250","","0.08","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,11,15,20,24,28,30","53,100,104,109,202"
"121","Wellington","Paremata","-41.1005","174.8621","Unknown","Gravels over Archaic site","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Marine gravel layer thinning inland from sea shore, overlying Moa hunter occupation layer - Hao-whenua event?","3","3.00?","25","","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,20,24,28,30","109,202"
"122","Tasman District","Pohara Beach, Golden Bay","-40.83377","172.877033","Deposit present","Marine sand separating occupation layers","Prehistoric AD","1450","1600","1470","1510","1450","1600","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Barber 1999 dates material to around 1402-1501. Sand separates Archaic and Classic Māori sites.","2","","50","","0.05","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,6,20,24,28,30","28,109,202"
"123","Tasman District","Middle Ligar Bay, Golden Bay","-40.821981","172.909031","Deposit present","Marine sand separating occupation layers","Prehistoric AD","1450","1600","1470","1510","1450","1600","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Barber 1999 dates material to around 1402-1501. Sand separates Archaic and Classic Māori sites.","2","","50","","0.05","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,6,20,24,28,30","28,109,202"
"124","Tasman District","Tata Beach, Golden Bay","-40.810794","172.915737","Deposit present","Marine sand separating occupation layers","Prehistoric AD","1450","1600","1470","1510","1450","1600","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Barber 1999 dates material to around 1402-1501. Sand separates Archaic and Classic Māori sites.","2","","50","","0.05","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,6,20,24,28,30","28,109,202"
"125","Tasman District","Triangle Flat, Golden Bay","-40.52027","172.743092","Deposit present","Visible shell valves usually broken or water-rolled. Beach sand matrix","Prehistoric AD","1450","1600","1470","1510","1450","1600","1470-1510","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Associated with 0.75m compaction in Golden Bay, related to tsunamigenic earthquake.","4","","70","","0.06","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,6,14,20,21,24,25,26,28,30","28,109,202"
"126","Marlborough District","Taipare Bay","-41.01","173.72","Deposit present","Dune advance separates occupation layers","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Associated with tsunamigenic earthquake and subsidence of 0.75m compaction in Golden Bay/Tasman Bay -increased sand supply to coast","","","","","","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","26,28,30","5,109,202"
"127","Tasman District","Omokau Bay","-41.0761","173.5646","Deposit present","Gravel lag and dune advance separate occupation layers","Prehistoric AD","1450","1550","1470","1510","1450","1550","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Associated with tsunamigenic earthquake and subsidence of 0.75m compaction in Golden Bay/Tasman Bay -increased sand supply to coast","10","","60","","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,20,24,25,26,28,30","5,109,202,233"
"128","Northland","Henderson Bay","-34.7577","173.1261","Deposit present","Pebbles over sand+sand in peat","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation, Radiocarbon","Strat/C14:  Loisels pumice (AD1290-1440, McFadgen 1994) present, C14 age in upper deposit = AD770-1020. McFadgen (2007) correlates with other sites","32","","1000","","0.3","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,2,3,4,5,6,7,15,16,17,20,23,24,26,28,30","127,225"
"129","Northland","Kowhai Bay","-34.7813","173.1463","Deposit present","Pebbles in sand/facies change","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Correlates with contiguous Henderson Bay site. Younger than Liosels Pumice.","2","","500","","0.3","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26,28,30","158,225"
"130","Waikato","Mahinapua","-36.7049","175.7882","Unknown","Gritty sand over Loisels","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Reworked?? Sand/charcoal/shells over Loisels pumice","3","","100","","2","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,2,5,6,14,20,24,28,30","295"
"131","Northland","Mangawhai Beach","-36.1063","174.6056","Deposit present","Pebbles in sand+midden changes","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles overlie appropriately aged dunes + marked changed in shell species content in middens before and after this event","8","","200","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,21,24,26,28,30","99,202,252,295"
"132","Northland","Matai Bay","-34.8255","173.4066","Unknown","Pebbles in sand","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: In appropriate straigraphic position for 15th century Northland event","3","~3.00","50","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,21,24,26,28,30","54,295"
"133","Auckland","Mokohinau Islands","-35.9371","175.1471","Unknown","Pebbles/cobbles in soil","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles/gravel overlie soil on hillside - associated with Arch+AF65aic sites. Possible waterspout linked with Korapuke?","57","","150","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26,28,30","99,216,278"
"134","Northland","Molesworth Head, Mangawhai","-36.0804","174.5974","Deposit present","Sand/loisels overlies occupation","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Ohuan dune sand and Loisels pumice overlies first (Archaic) occupations - tsunami remobilised sand?","10","","200","","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26,28,30","99,202,295"
"135","Northland","Moturua Island","-35.2265","174.1974","Deposit present","Pebbles over/in sand/soil","Prehistoric AD","1440","1550","1450","1480","1440","1550","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: Pebbles overlie and lie within sand/soils - believed to be Māori garden soil - dated to 510+/-70 C14 yr BP","20","","150","150?","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,28,30","143,167,255"
"136","Canterbury","Purau Bay","-43.637828","172.754148","Deposit present","Very fine sand","Prehistoric AD","1440","1670","1440","1670","1440","1670","1440-1670","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Chronology based on in-situ dates radiocarbon dates and South American Data","3","","135","","0.1","Quake","Probable 1575AD Chile or 1604AD Peru","Inferred","South America","","","1,5,11,15,17,28,30","130"
"137","Wellington","Mana Island","-41.0928","174.7852","Unknown","Rafted wood in sand layer separating occupation layers","Prehistoric AD","1435","1500","1470","1510","1435","1500","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: Several dates from between occupation layers","2","","100","100?","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,15,20,24,28,30","60,109,120,202"
"138","Wellington","Te Ika amaru Bay","-41.247","174.664","Deposit present","Marine gravels overlying alluvium adjacent to Archaic occupation site","Prehistoric AD","1435","1500","1470","1510","1435","1500","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Post Māori settlement, possible correlation with Mana Is.","3",">3.00","300","","0.4","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,6,15,20,24,28,30","36,109,114,202"
"139","Southland","Goose Cove, Fiordland","-45.675","166.5488","Deposit present","Sand and shells","Prehistoric AD","1430","1500","1430","1500","1430","1500","1430-1500","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: Youngest date for shells = AD1430-1485; most likely Alpine fault rupture ~AD1450","-0.25","","50","50","0.25","Quake","","Inferred","Alpine Fault","-44.6","167.5","1,2,14,28,30","82,297"
"140","West Coast","Okarito","-43.2","170.19","Deposit present","Coarse sand/shell in vfs","Prehistoric AD","1430","1500","1430","1500","1430","1500","1430-1500","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: ~600 yr BP - see reference for details of dates. Barrier retains a distinct tsunami geomorphology","0.5","","2000","","0.35","Quake","","Inferred","Alpine Fault","","","1,2,5,6,7,11,12,14,16,17,18,20,24,26,28,30","118,119,226"
"141","West Coast","Saltwater Lagoon","-43.1031","170.3177","Deposit absent","Drowned Māori village","Prehistoric AD","1430","1500","1430","1500","1430","1500","1430-1500","AD","Moderate (5-8 criteria)","Secondary","Geomorphic","Geological data","Stratigraphic Correlation","Strat: Drowned village linked with Okarito Lagoon subsidence record. Reported by all early travellers on West Coast","","","50","","","Quake","","Inferred","Alpine Fault","","","20,22,24,28,30","80,119,220,226"
"142","Wellington","Okupe Lagoon, Kapiti Island","-40.8258","174.9475","Deposit present","Rafted wood in sand?","Prehistoric AD","1430","1645","1470","1510","1430","1645","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Could also be linked to Waitori event AD1430-1645. Material in deposit dated to C14: AD1300-1450","2","","350","","0.15","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,15,28,30","109,117,202"
"143","Taranaki","Kaupokonui","-39.5656","174.0572","Deposit present","Gravel lag/sterile sand separates or overlies occupation sites","Prehistoric AD","1430","1645","1470","1510","1430","1645","1470-1510","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Observations of pebbles high up on sand dune and mixed with artefacts - correlated with Waitori and Tasman Bay dates, could be wider age range?","20","","150","","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,20,24,25,26,27,28,30","46,100,109"
"144","Taranaki","Waitori","-39.7781","174.503","Deposit present","Sand with peat rip-ups and artefacts","Prehistoric AD","1430","1645","1470","1510","1430","1645","1470-1510","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","Key site for further work -significant disturbance of prehistoric Māori coastal site.","4","","150","","1.5","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,2,5,6,20,22,24,25,26,27,28,30","40,52,109,148,181,202"
"145","West Coast","Bruce Bay","-43.6025","169.5814","Deposit absent","Sand/pebbles/shell overlies peat. Tree stumps - plained off","Prehistoric AD","1430","1500","1430","1500","1430","1500","1430-1500","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles, sand and shell have reworked midden into wetland inland - C14 = AD1410-1485. Linked with Okarito. Strat: Tree stumps in Mahitahi River - and wetland. All planed off at same height - possibly tsunami. Needs further investigation.","2","","0","","0.25","Quake","","Inferred","Alpine Fault","","","1,2,5,12,14,16,20,24,28,30","171,309"
"146","Northland","Spirits Bay","-34.4303","172.8578","Deposit present","Gravel/pebbles in sand","Prehistoric AD","1420","1510","1450","1480","1420","1510","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles in association with Ohuan sand","10","","200","","0.05","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,26,28,30","54"
"147","Auckland","Motutapu Island","-36.7453","174.9141","Unknown","Reworked occupation/ash layers","Prehistoric AD","1410","1460","1410","1460","1410","1460","1410-1460","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: Refer to Nichol (1988) PhD thesis for details","4","","50","50?","0.05","Eruption","","Inferred","Rangitoto Island","-36.7862","174.8592","1,6,20,28,30","202,223"
"148","Waikato","Coralie Bay, Great Mercury Island","-36.6067","175.7917","Deposit present","Pebbles in dunes","Prehistoric AD","1400","1500","1450","1480","1400","1500","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Possibly correlating across with other sites around Coromandel. Pebbles eroding from dunes into lineations in underlying shore platform","5","5.00?","50","50?","0.12","Quake","","Inferred","Hikurangi Trough, Tonga-Kermadec","","","1,20,24,28,30","97"
"149","Tasman District","Golden Bay","-40.8032","172.9191","Unknown","Sand separating occupations","Prehistoric AD","1400","1500","1470","1510","1400","1500","1470-1510","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Radiocarbon","C14: AD1400-1500, + stratigraphy between Archaic and Classic. Three sites - Tata Beach, Pohara Beach, Ligar Bay - remobilisation = EQ (+tsunami?)","2","2.00?","50","50?","1.8","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,6,28","28,109,202"
"150","Manawatu-Wanganui","Whanganui River","-39.9442","174.9826","Deposit present","Pebbles on sand","Prehistoric AD","1400","1550","1470","1510","1400","1550","1470-1510","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Observations of pebbles on top of bluff - storms? Associated with Māori and moa artefacts in Field (1877)","10",">10.00","250","","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,20,24,28","9,86,109"
"151","Auckland","Waiheke Island","-36.818","175.0703","Unknown","Gravel/shells in sand/soil","Prehistoric AD","1400","1550","1410","1460","1400","1550","1410-1460","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Reported overlying Archaic material","10","","200","","0.05","Eruption","","Inferred","Rangitoto","-36.7862","174.8592","1,20,28","99,182,202"
"152","Northland","Kawerua","-35.6405","173.4435","Deposit present","Pebbles over sand","Prehistoric AD","1400","1500","1400","1500","1400","1500","1400-1500","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles overlie sand - chronologically linked to other sites along this coast to the north?","10","10.00?","100","","0.1","Quake","Possible local submarine landslide","Inferred","Tonga-Kermadec","-35.8","179.01","1,28,30","152"
"153","Taranaki","Oaonui","-39.3962","173.7846","Deposit present","Pebbles in dunes","Prehistoric AD","1400","1600","1470","1510","1400","1600","1470-1510","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Dunes south of West Waikato sites and north of Waitori - shows tsunami geomorphology - needs further verification.","5","5.00+","100","","0.1","Quake","","Inferred","Taranaki, Taranaki Bight","-40.5651","172.7488","1,26,28,30","25,109"
"154","Northland","Te Werahi Beach","-34.4676","172.6752","Deposit present","Pebbles in sand + erosion surface","Prehistoric AD","1400","1500","1450","1480","1400","1500","1450-1480","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Linked with either events on east coast? Coastline appears to have been planed off.","15","","300","","0.01","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,26","43,54,109"
"155","Manawatawhi/Three Kings Islands","Three Kings Islands","-34.1798","172.0757","Unknown","Pebbles over sand/soil","Prehistoric AD","1400","1500","1450","1480","1400","1500","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Pebbles overlie sand/soils - too large for sealion gastroliths. Linked with Te Werahi event?","40","","200","200?","0.1","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,20,24,28,30","41,109,153"
"156","Northland","Twilight Beach","-34.4913","172.6922","Deposit present","Gravel/pebbles in sand","Prehistoric AD","1400","1500","1450","1480","1400","1500","1450-1480","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Linked with either events on east coast? As per Te Werahi?","15","","200","","0.05","Quake","","Inferred","Tonga-Kermadec","-35.8","179.01","1,15,20,24,26,28,30","54,109"
"157","Waikato","Waikawau Beach","-38.4824","174.6391","Deposit present","Gravel lag overlies sand/occupation layer","Prehistoric AD","1400","1500","1320","1450","1400","1500","1320-1450","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","Strat: Marine pebbles overlying Archaic occupation site - correlates with Ngararahae Bay site","40","","260","260?","0.1","Slide","Aotea Seamount flank collapse?","Inferred","Taranaki, Taranaki (North)","","","1,5,20,24,26,27,28,29,30","109,298,299"
